127.0.0.1 - - [03/Dec/2024:07:56:31 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Dec/2024:07:56:36 +0545] "GET /hello/register.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2024:07:56:38 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2024:07:57:03 +0545] "POST /hello/registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [03/Dec/2024:07:58:18 +0545] "POST /hello/registerdb.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:07:58:18 +0545] "GET /hello/home.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:24:10 +0545] "GET /hello/login.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:24:24 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:24:24 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:24:39 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:24:39 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:16 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:18 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:26 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:26 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:27 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:25:27 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:29:35 +0545] "GET /hello/login.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:29:44 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:29:44 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:30:30 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:30:31 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:30:38 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:30:38 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:31:01 +0545] "GET /hello/login.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:31:08 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:31:08 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:31:57 +0545] "GET /hello/login.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:32:05 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:08:32:05 +0545] "GET /hello/home.jsp HTTP/1.1" 200 145
